Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
PSO,BreastCancer,costNN,1,2022-03-25-11-56-11,2022-03-25-11-56-13,2.3003828525543213,0.9349240780911063,274.0,27.0,3.0,157.0,0.9411764705882353,145.0,12.0,2.0,79.0,0.10328008269019168,0.10328008269019168,0.09471899921696106,0.08790329521378791,0.06996950555534343
PSO,BreastCancer,costNN,2,2022-03-25-11-56-13,2022-03-25-11-56-15,2.2941970825195312,0.9370932754880694,283.0,18.0,11.0,149.0,0.9663865546218487,151.0,6.0,2.0,79.0,0.0663816585134514,0.05946122619482973,0.05946122619482973,0.05946122619482973,0.05946122619482973
PSO,Diabetes,costNN,1,2022-03-25-11-56-15,2022-03-25-11-56-18,2.4395713806152344,0.741106719367589,73.0,99.0,32.0,302.0,0.6793893129770993,34.0,62.0,22.0,144.0,0.21610750275335505,0.21610750275335505,0.20505939809850537,0.20505939809850537,0.18762621753791783
PSO,Diabetes,costNN,2,2022-03-25-11-56-18,2022-03-25-11-56-20,2.6209394931793213,0.7648221343873518,97.0,75.0,44.0,290.0,0.732824427480916,51.0,45.0,25.0,141.0,0.22231857177138686,0.18771498044070828,0.18771498044070828,0.17631058929509003,0.17631058929509003
PSO,Liver,costNN,1,2022-03-25-11-56-20,2022-03-25-11-56-22,1.2722411155700684,0.6519823788546255,51.0,44.0,35.0,97.0,0.6271186440677966,29.0,21.0,23.0,45.0,0.25226480708292803,0.24541882678868115,0.23863493202575586,0.23167347595820323,0.23148279879560843
PSO,Liver,costNN,2,2022-03-25-11-56-22,2022-03-25-11-56-23,1.213730812072754,0.6519823788546255,45.0,50.0,29.0,103.0,0.635593220338983,25.0,25.0,18.0,50.0,0.26621934309731554,0.24358201933229093,0.23261048368452833,0.2244800121850442,0.2244800121850442
PSO,Parkinsons,costNN,1,2022-03-25-11-56-23,2022-03-25-11-56-27,3.7559328079223633,0.8125,84.0,12.0,12.0,20.0,0.7313432835820896,42.0,9.0,9.0,7.0,0.20996767171423034,0.20996767171423034,0.20996767171423034,0.20996767171423034,0.20996767171423034
PSO,Parkinsons,costNN,2,2022-03-25-11-56-27,2022-03-25-11-56-30,3.738713502883911,0.6640625,62.0,34.0,9.0,23.0,0.7164179104477612,36.0,15.0,4.0,12.0,0.29385432532640926,0.29385432532640926,0.29160384606955514,0.29160384606955514,0.29160384606955514
PSO,Vertebral,costNN,1,2022-03-25-11-56-30,2022-03-25-11-56-31,1.1104629039764404,0.6813725490196079,130.0,5.0,60.0,9.0,0.7452830188679245,71.0,4.0,23.0,8.0,0.22962845559441297,0.1996141838081378,0.1996141838081378,0.1996141838081378,0.1876178048057868
PSO,Vertebral,costNN,2,2022-03-25-11-56-31,2022-03-25-11-56-33,1.122387409210205,0.7254901960784313,124.0,11.0,45.0,24.0,0.7830188679245284,71.0,4.0,19.0,12.0,0.1725000013135306,0.1725000013135306,0.17137956833352838,0.17137956833352838,0.17137956833352838
