Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
BAT,Diabetes,costNN,1,2022-03-25-11-27-20,2022-03-25-11-27-22,2.4232683181762695,0.7213438735177866,53.0,119.0,22.0,312.0,0.7213740458015268,32.0,64.0,9.0,157.0,0.21071761854035506,0.2074092416506518,0.20583839909653173,0.20491042863535675,0.20368529182388218
BAT,Diabetes,costNN,2,2022-03-25-11-27-22,2022-03-25-11-27-24,2.36667799949646,0.33992094861660077,172.0,0.0,334.0,0.0,0.366412213740458,96.0,0.0,166.0,0.0,0.238650900373371,0.238650900373371,0.238650900373371,0.238650900373371,0.238650900373371
PSO,Liver,costNN,1,2022-03-25-11-27-24,2022-03-25-11-27-25,0.9343993663787842,0.5859030837004405,18.0,77.0,17.0,115.0,0.5847457627118644,13.0,37.0,12.0,56.0,0.24062190853551269,0.24062190853551269,0.24062190853551269,0.24062190853551269,0.24062190853551269
PSO,Liver,costNN,2,2022-03-25-11-27-25,2022-03-25-11-27-26,0.9428830146789551,0.6035242290748899,13.0,82.0,8.0,124.0,0.576271186440678,7.0,43.0,7.0,61.0,0.25551745805608517,0.23238488395251558,0.23238488395251558,0.23238488395251558,0.23238488395251558
MVO,Liver,costNN,1,2022-03-25-11-27-26,2022-03-25-11-27-27,0.9048802852630615,0.6740088105726872,52.0,43.0,31.0,101.0,0.6694915254237288,32.0,18.0,21.0,47.0,0.26439382305572023,0.25904011718219816,0.2304152048839234,0.22471596675064848,0.21790492121598107
MVO,Liver,costNN,2,2022-03-25-11-27-27,2022-03-25-11-27-28,0.9215178489685059,0.6211453744493393,33.0,62.0,24.0,108.0,0.5423728813559322,19.0,31.0,23.0,45.0,0.24266611204378669,0.23984125991078903,0.23485236155263658,0.23485236155263658,0.23065619709849675
GWO,Liver,costNN,1,2022-03-25-11-27-28,2022-03-25-11-27-29,0.9518887996673584,0.5726872246696035,16.0,79.0,18.0,114.0,0.6271186440677966,12.0,38.0,6.0,62.0,0.23544797611038482,0.23544797611038482,0.23544797611038482,0.235263120275564,0.23420745270690174
GWO,Liver,costNN,2,2022-03-25-11-27-29,2022-03-25-11-27-30,0.964242696762085,0.6079295154185022,15.0,80.0,9.0,123.0,0.6271186440677966,9.0,41.0,3.0,65.0,0.24868437330219167,0.23960696233771903,0.23579117179833192,0.23579117179833192,0.2267444914963066
MFO,Liver,costNN,1,2022-03-25-11-27-30,2022-03-25-11-27-31,0.9152460098266602,0.6123348017621145,17.0,78.0,10.0,122.0,0.6271186440677966,10.0,40.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0
MFO,Liver,costNN,2,2022-03-25-11-27-31,2022-03-25-11-27-32,0.9345138072967529,0.5947136563876652,6.0,89.0,3.0,129.0,0.6016949152542372,4.0,46.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
